title,postal_code,beds,baths,sq_feet,price
Condo for sale,94117,3.0,3.0,1857.1671,2495000.0
House for sale,94117,5.0,6.0,3870.0,3795000.0
Condo for sale,94117,3.0,1.0,1857.0,1695000.0
House for sale,94117,3.0,2.0,1600.0,1449500.0
Condo for sale,94117,3.0,2.0,1857.1671,1495000.0
House for sale,94117,13.0,4.0,5280.0,2795000.0
House for sale,94117,6.0,2.0,4754.0,2399000.0
Condo for sale,94117,3.0,2.0,922.0,1195000.0
House for sale,94117,12.0,2.0,15140.0,7199000.0
Condo for sale,94117,3.0,2.0,2003.0,1849000.0
House for sale,94117,3.0,3.0,2400.0,2795000.0
House for sale,94117,11.0,13.0,5889.0,3795000.0
Condo for sale,94117,1.0,1.0,1857.1671,899900.0
Condo for sale,94117,1.0,1.0,829.0,1095000.0
Condo for sale,94117,1.0,1.0,1204.0,995000.0
House for sale,94117,6.0,2.0,1556.0,1595000.0
Under Contract,94117,2.0,1.0,1076.0,1249000.0
Condo for sale,94117,2.0,1.0,1258.0,1250000.0
Under Contract,94117,5.0,4.0,2900.0,2399000.0
Lot / Land for sale,94117,2.0,2.0,1857.1671,3495000.0
House for sale,94117,9.0,3.0,5655.0,2990000.0
Under Contract,94117,12.0,1.0,4320.0,2295000.0
Under Contract,94117,1.0,1.0,705.0,799000.0
House for sale,94117,4.0,3.0,3000.0,3675000.0
House for sale,94117,5.0,2.0,2874.0,1995000.0
House for sale,94117,3.0,2.0,1804.0,1595000.0
House for sale,94117,23.0,2.0,16830.0,6300000.0
Condo for sale,94117,3.0,2.0,1823.0,1645000.0
House for sale,94117,4.0,3.0,2378.0,2650000.0
Condo for sale,94117,3.0,4.0,2000.0,2000000.0
Condo for sale,94117,2.0,1.0,1319.0,1390000.0
House for sale,94117,6.0,3.0,4315.0,2898000.0
Under Contract,94117,2.0,2.0,1193.0,1050000.0
Condo for sale,94117,1.0,1.0,590.0,749000.0
Condo for sale,94117,2.0,1.0,790.0,859000.0
House for sale,94117,4.0,3.0,1706.0,1450000.0
House for sale,94117,8.0,5.0,4678.0,3650000.0
House for sale,94117,9.0,2.0,5175.0,2675000.0
Under Contract,94117,2.0,4.0,2750.0,1800000.0
House for sale,94116,2.0,1.0,1400.0,1195000.0
House for sale,94116,4.0,4.0,2067.0,1798000.0
House for sale,94116,3.0,2.0,2133.0,1595000.0
House for sale,94116,2.0,1.0,1075.0,1195000.0
House for sale,94116,2.0,1.0,800.0,999000.0
House for sale,94116,4.0,5.0,2747.0,2195000.0
House for sale,94116,3.0,2.0,1214.0,1095000.0
House for sale,94116,3.0,2.0,1755.0,1595000.0
House for sale,94116,3.0,2.0,1214.0,1095000.0
House for sale,94116,3.0,2.0,1758.0,1498000.0
House for sale,94116,5.0,3.0,1912.0,1195000.0
Under Contract,94116,3.0,2.0,943.0,1350000.0
